  0%|          | 0/1458 [00:00<?, ?it/s][transformers] Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                    
{'loss': '0.4459', 'grad_norm': '0.4008', 'learning_rate': '9.412e-05', 'epoch': '0.597'}
{'loss': '0.5122', 'grad_norm': '0.4451', 'learning_rate': '9.385e-05', 'epoch': '0.6073'}
{'loss': '0.4161', 'grad_norm': '0.5178', 'learning_rate': '9.357e-05', 'epoch': '0.6176'}
{'loss': '0.4438', 'grad_norm': '0.5206', 'learning_rate': '9.329e-05', 'epoch': '0.6279'}
{'loss': '0.4489', 'grad_norm': '0.4682', 'learning_rate': '9.301e-05', 'epoch': '0.6382'}
{'loss': '0.386', 'grad_norm': '0.4975', 'learning_rate': '9.271e-05', 'epoch': '0.6485'}
{'loss': '0.4073', 'grad_norm': '0.417', 'learning_rate': '9.242e-05', 'epoch': '0.6588'}
{'loss': '0.4731', 'grad_norm': '0.5604', 'learning_rate': '9.211e-05', 'epoch': '0.6691'}
{'loss': '0.4328', 'grad_norm': '0.4173', 'learning_rate': '9.18e-05', 'epoch': '0.6794'}
{'loss': '0.3863', 'grad_norm': '0.4916', 'learning_rate': '9.149e-05', 'epoch': '0.6897'}
{'loss': '0.4117', 'grad_norm': '0.4678', 'learning_rate': '9.117e-05', 'epoch': '0.6999'}
{'loss': '0.3498', 'grad_norm': '0.3821', 'learning_rate': '9.085e-05', 'epoch': '0.7102'}
{'loss': '0.4093', 'grad_norm': '0.531', 'learning_rate': '9.052e-05', 'epoch': '0.7205'}
{'loss': '0.3497', 'grad_norm': '0.3671', 'learning_rate': '9.018e-05', 'epoch': '0.7308'}
{'loss': '0.4167', 'grad_norm': '0.393', 'learning_rate': '8.984e-05', 'epoch': '0.7411'}
{'loss': '0.3458', 'grad_norm': '0.4325', 'learning_rate': '8.95e-05', 'epoch': '0.7514'}
{'loss': '0.3956', 'grad_norm': '0.6168', 'learning_rate': '8.915e-05', 'epoch': '0.7617'}
{'loss': '0.4219', 'grad_norm': '0.3668', 'learning_rate': '8.879e-05', 'epoch': '0.772'}
{'loss': '0.3808', 'grad_norm': '0.4352', 'learning_rate': '8.843e-05', 'epoch': '0.7823'}
{'loss': '0.325', 'grad_norm': '0.3234', 'learning_rate': '8.807e-05', 'epoch': '0.7926'}
{'loss': '0.3687', 'grad_norm': '0.3714', 'learning_rate': '8.77e-05', 'epoch': '0.8029'}
{'loss': '0.3494', 'grad_norm': '0.3915', 'learning_rate': '8.732e-05', 'epoch': '0.8132'}
{'loss': '0.3683', 'grad_norm': '0.3678', 'learning_rate': '8.694e-05', 'epoch': '0.8235'}
{'loss': '0.3311', 'grad_norm': '0.4457', 'learning_rate': '8.656e-05', 'epoch': '0.8338'}
{'loss': '0.4111', 'grad_norm': '0.5302', 'learning_rate': '8.617e-05', 'epoch': '0.8441'}
{'loss': '0.2874', 'grad_norm': '0.3798', 'learning_rate': '8.577e-05', 'epoch': '0.8543'}
{'loss': '0.3416', 'grad_norm': '0.4588', 'learning_rate': '8.538e-05', 'epoch': '0.8646'}
{'loss': '0.3394', 'grad_norm': '0.3663', 'learning_rate': '8.497e-05', 'epoch': '0.8749'}
{'loss': '0.3162', 'grad_norm': '0.4905', 'learning_rate': '8.456e-05', 'epoch': '0.8852'}
{'loss': '0.3174', 'grad_norm': '0.416', 'learning_rate': '8.415e-05', 'epoch': '0.8955'}
{'loss': '0.3526', 'grad_norm': '0.4497', 'learning_rate': '8.374e-05', 'epoch': '0.9058'}
